ID,Answer
1151-10-1,領先盤
1151-10-2,一盤中戰至6比6時
1151-10-3,決勝局必定是單數局
1151-11-1,雙打比賽
1151-11-2,一局特殊的決勝局
1151-11-3,雙打比賽
1151-13-1,7局比賽後
1151-13-2,健全人
1151-13-3,輪椅網球比賽
1151-23-1,網球正拍
1151-23-2,下旋球
1151-23-3,雙反
1151-3-1,英國倫敦溫布頓
1151-3-2,美國國家草地網球聯盟
1151-3-3,大滿貫
1151-8-1,國際網球協會
1151-8-2,失一分
1151-8-3,失分
5600-3-1,五分之一
5600-3-2,印度
5600-3-3,北京
5645-11-1,北平綏靖公署主任張學良轉任軍事委員會北平分會副委員長
5645-11-2,《塘沽協定》
5645-11-3,湯玉麟
5645-17-1,二二八事件
5645-17-2,1949年
5645-17-3,折下吉延
5645-17-4,白色
5645-2-1,楊宇霆
5645-2-2,1918年
5645-2-3,東三省巡閱使衛隊旅旅長
5645-2-4,郭松齡
5645-20-1,1961年
5645-20-2,于鳳至
5645-20-3,佛教
5645-20-4,1955年
5645-20-5,2016年
5645-22-1,1924年
5645-22-2,郭松齡
5645-22-3,楊宇霆
5645-22-4,米勒
5645-5-1,1925年
5645-5-2,日本關東軍
5645-5-3,河本大作大佐
5645-6-1,南京國民政府青天白日滿地紅旗
5645-6-2,國民政府
5645-6-3,1929年
5645-7-1,中國國民黨
5645-7-2,「特殊黨員
5645-7-3,「革命外交」政策
5645-8-1,伯力
5645-8-2,第一座青天白日勳章
5645-8-3,九一八事變
5597-1-1,倫敦霍洛威
5597-1-2,5次
5597-1-3,戴爾廣場足球俱樂部
5597-1-4,1913年
5597-13-1,1987年
5597-13-2,阿森納
5597-13-3,12次
5597-13-4,全勝紀錄
5597-13-5,恩域塔球場
5597-5-1,赫爾伯特·查普曼
5597-5-2,湯·韋迪加
5597-5-3,1930年
5597-5-4,查普曼
3206-11-1,哈大客運專線
3206-11-2,哈大客運專線
3206-11-3,哈齊客運專線
3206-11-4,大連
3206-11-5,哈大客運專線
3206-8-1,黑龍江
3206-8-2,大慶油田
3206-8-3,重工業
3206-8-4,哈爾濱
6229-1-1,貴霜帝國
6229-1-2,166年
6229-1-3,高品質的衣服布料
6229-1-4,羅馬帝國
6229-3-1,印度洋
6229-3-2,為了更好的與羅馬帝國進行貿易活動
6229-3-3,166年
2435-3-1,自由
2435-3-2,拿破崙
2435-3-3,公民權
2435-3-4,1917年
2435-3-5,威廉二世
2514-4-1,牛胃氣膨脹
2514-4-2,1970年
2514-4-3,1930年代
2514-4-4,1930年代
2514-7-1,改良式腳踏車
2514-7-2,美國登山車協會
2514-7-3,八零年代
2514-7-4,二千九百公尺
2514-7-5,瑞派克路
2514-8-1,1875年
2514-8-2,點石齋畫報
2514-8-3,溥佳
2514-8-4,宮田製銃所
2514-8-5,700家
1165-11-1,鹿兒島
1165-11-2,顯示自己的獨立自主
1165-11-3,義大利耶穌會
1165-12-1,天主教
1165-12-2,1597年
1165-12-3,1637年
1165-4-1,15年
1165-4-2,3年－5年
1165-4-3,神學研究
1165-8-1,1847年
1165-8-2,徐家匯
1165-8-3,耶穌
1165-9-1,義和團事變
1165-9-2,耶穌會
1165-9-3,法國
4941-1-1,美國空軍准將
4941-1-2,普林斯頓大學
4941-1-3,詹姆斯·梅特蘭·史都華
4941-11-1,1943年
4941-11-2,史都華的影迷太多
4941-11-3,史都華
4941-15-1,2部
4941-15-2,吉米·史都華
4941-15-3,《華府風雲》
4941-17-1,5個
4941-17-2,文藝喜劇片
